replication,seed,heuristic_undisrupted_cost,heuristic_disrupted_cost,heuristic_tcd,llm_undisrupted_cost,llm_disrupted_cost,llm_tcd,delta,winner
57,1099,129482.000000,132582.000000,3100.000000,129482.000000,130782.000000,1300.000000,-1800.000000,LLM
58,1100,150362.000000,158102.000000,7740.000000,150362.000000,152702.000000,2340.000000,-5400.000000,LLM
59,1101,131117.000000,138737.000000,7620.000000,131117.000000,133470.300000,2353.300000,-5266.700000,LLM
60,1102,130245.000000,133945.000000,3700.000000,130245.000000,131745.000000,1500.000000,-2200.000000,LLM
61,1103,133069.000000,137329.000000,4260.000000,133069.000000,134729.000000,1660.000000,-2600.000000,LLM
62,1104,139766.000000,147506.000000,7740.000000,139766.000000,142106.000000,2340.000000,-5400.000000,LLM
63,1105,147767.000000,153667.000000,5900.000000,147767.000000,149747.000000,1980.000000,-3920.000000,LLM
64,1106,141210.000000,142950.000000,1740.000000,141210.000000,142390.000000,1180.000000,-560.000000,LLM
65,1107,149586.000000,153286.000000,3700.000000,149586.000000,151126.000000,1540.000000,-2160.000000,LLM
66,1108,120771.000000,129451.000000,8680.000000,120771.000000,123368.600000,2597.600000,-6082.400000,LLM
67,1109,158014.000000,169434.000000,11420.000000,158094.000000,161243.900000,3149.900000,-8270.100000,LLM
68,1110,145769.000000,154329.000000,8560.000000,145769.000000,148229.000000,2460.000000,-6100.000000,LLM
69,1111,129007.000000,132007.000000,3000.000000,129007.000000,130627.000000,1620.000000,-1380.000000,LLM
70,1112,115714.000000,118254.000000,2540.000000,115714.000000,117134.000000,1420.000000,-1120.000000,LLM
71,1113,127933.000000,135333.000000,7400.000000,127933.000000,130513.000000,2580.000000,-4820.000000,LLM
72,1114,138315.000000,145375.000000,7060.000000,138315.000000,141995.000000,3680.000000,-3380.000000,LLM
73,1115,131413.000000,134393.000000,2980.000000,131413.000000,132513.000000,1100.000000,-1880.000000,LLM
74,1116,126787.000000,131807.000000,5020.000000,126787.000000,128727.000000,1940.000000,-3080.000000,LLM
75,1117,142461.000000,145621.000000,3160.000000,142461.000000,143801.000000,1340.000000,-1820.000000,LLM
76,1118,156203.000000,159203.000000,3000.000000,156203.000000,157823.000000,1620.000000,-1380.000000,LLM
77,1119,134162.000000,139062.000000,4900.000000,134242.000000,135982.000000,1740.000000,-3160.000000,LLM
78,1120,134922.000000,140862.000000,5940.000000,134922.000000,137062.000000,2140.000000,-3800.000000,LLM
79,1121,126335.000000,138975.000000,12640.000000,126335.000000,129985.300000,3650.300000,-8989.700000,LLM
80,1122,158923.000000,163823.000000,4900.000000,158923.000000,160743.000000,1820.000000,-3080.000000,LLM
81,1123,126739.000000,133899.000000,7160.000000,126739.000000,129079.000000,2340.000000,-4820.000000,LLM
82,1124,137772.000000,141092.000000,3320.000000,137772.000000,139312.000000,1540.000000,-1780.000000,LLM
83,1125,146822.000000,162402.000000,15580.000000,146822.000000,152422.000000,5600.000000,-9980.000000,LLM
84,1126,143358.000000,154778.000000,11420.000000,143358.000000,146686.500000,3328.500000,-8091.500000,LLM
85,1127,136877.000000,143877.000000,7000.000000,136877.000000,139057.000000,2180.000000,-4820.000000,LLM
86,1128,131530.000000,138650.000000,7120.000000,131530.000000,133910.000000,2380.000000,-4740.000000,LLM
87,1129,130111.000000,133931.000000,3820.000000,130111.000000,131491.000000,1380.000000,-2440.000000,LLM
88,1130,140049.000000,143089.000000,3040.000000,140049.000000,141109.000000,1060.000000,-1980.000000,LLM
89,1131,142561.000000,151761.000000,9200.000000,142561.000000,145261.000000,2700.000000,-6500.000000,LLM
90,1132,141019.000000,146039.000000,5020.000000,141019.000000,142959.000000,1940.000000,-3080.000000,LLM
91,1133,137307.000000,147387.000000,10080.000000,137307.000000,140087.000000,2780.000000,-7300.000000,LLM
92,1134,151158.000000,158558.000000,7400.000000,151158.000000,153738.000000,2580.000000,-4820.000000,LLM
93,1135,140322.000000,146042.000000,5720.000000,140322.000000,142582.000000,2260.000000,-3460.000000,LLM
94,1136,135816.000000,138816.000000,3000.000000,135816.000000,137436.000000,1620.000000,-1380.000000,LLM
95,1137,131021.000000,136621.000000,5600.000000,131021.000000,133161.000000,2140.000000,-3460.000000,LLM
96,1138,138209.000000,148289.000000,10080.000000,138209.000000,141164.800000,2955.800000,-7124.200000,LLM
97,1139,124631.000000,127791.000000,3160.000000,124631.000000,125811.000000,1180.000000,-1980.000000,LLM
98,1140,127076.000000,128816.000000,1740.000000,127076.000000,128176.000000,1100.000000,-640.000000,LLM
99,1141,126428.000000,131008.000000,4580.000000,126508.000000,129248.000000,2740.000000,-1840.000000,LLM
100,1142,135923.000000,140823.000000,4900.000000,135923.000000,137743.000000,1820.000000,-3080.000000,LLM
